Date,Day,City,State,Venue,With
2015-04-18,Sat,Brooklyn,NY,Shea Stadium,"Lost Boy?, Sharkmuffin, So So Glos"
2015-04-10,Fri,Brooklyn,NY,The Gutter,"Done, Specific Thing, Nonsense"
2015-03-27,Fri,Brooklyn,NY,Brooklyn Night Bazaar,"LVL UP, Crying, Flagland, Teen Suicide"
2015-03-20,Fri,Brooklyn,NY,Palisades,"Lip Talk, Friend Roulette, Evasive Backflip"
2015-03-07,Sat,Brooklyn,NY,Palisades,"Dan Licata's Comedy Show - Flagland, Low Fat Getting High, Chris Gethard, more"
2015-02-16,Mon,Brooklyn,NY,Trash Bar,"Mr. M.A.M., Ghost Stations, Early Spring"
2015-02-11,Wed,Manhattan,NY,MNN Studios,The Special Without Brett Davis Ep.1
2015-02-04,Wed,Brooklyn,NY,The Grandy Victory,"Doubting Thomas Cruise Control, LEAN, Geena Davis"
2015-01-21,Wed,Brooklyn,NY,Shea Stadium,"The Sweet Boys, Happy You, Altopalo"
2015-01-09,Fri,Brooklyn,NY,Brooklyn Night Bazaar,"Adult Dude, Slonk Donkerson, Life Size Maps, Dead Stars"
2015-01-02,Fri,Brooklyn,NY,Palisades,"Baked, Furnsss, Oddy Knocky"
2014-12-19,Fri,Brooklyn,NY,Silent Barn,"Heaven's Gate, The Gradients, Done, Half Human"
2014-12-07,Sun,Washington,DC,The Dougout,"Big Ups, Mannequin Pussy, Two Inch Astronaut, Jail Solidarity"
2014-12-06,Sat,Baltimore,MD,The Crown,"Big Ups, Hive Bent, Multicult"
2014-12-05,Fri,Philadelphia,PA,Girard Hall,"Big Ups, Amanda X, Left & Right, Mannequin Pussy"
2014-12-04,Thu,Bayonne,NJ,Lot 13,"Big Ups, Life Eaters"
2014-12-03,Wed,Allston,MA,O'Brien's Pub,"Big Ups, Krill, Kal Marks"
2014-12-01,Mon,Brooklyn,NY,Shea Stadium,"Big Ups, Flagland, Doubting Thomas Cruise Control, more"
2014-11-04,Tue,Brooklyn,NY,Palisades,"Heeny, Doubting Thomas Cruise Control, Bears"
2014-10-24,Fri,Brooklyn,NY,Shea Stadium,"Paws, Solids, Heats, and Happyness"
2014-10-21,Tue,Brooklyn,NY,Palisades,"Roomrunner, Celestial Shore, Heliotropes"
2014-10-16,Thu,Brooklyn,NY,Don Pedro,"Specific Thing, Vulture Shit, Finchler"
2014-10-10,Fri,Manhattan,NY,Paragon Sports,Decked Out NY Harold Hunter Foundation Benefit
2014-10-07,Tue,Brooklyn,NY,Palisades,"Big Ups, Flagland, Vulture Shit, Lost Boy ? (Silva Benefit)"
2014-09-13,Sat,Brooklyn,NY,Shea Stadium,"Baked, Bueno, High Pop"
2014-08-26,Tue,Brooklyn,NY,Palisades,"Dead Tenants, Bluffing, Pill"
2014-08-18,Mon,Brooklyn,NY,Baby's All Right,"Greys, The Dirty Nil, and Hectors Pets"
2014-08-13,Wed,Brooklyn,NY,Death By Audio,"Kal Marks, Sleepies, Left & Right"
2014-07-29,Tue,Brooklyn,NY,Palisades,"The Gradients, The Doozies, Palm"
2014-07-19,Sat,Manhattan,NY,Cake Shop,"Vulture Shit, The Sheiks, Done"
2014-07-08,Tue,Brooklyn,NY,Palisades,"Swamp Babies, Ahbay Singh & Friends, Doubting Thomas Cruise Control"
2014-06-30,Mon,Brooklyn,NY,Shea Stadium,"Infinity Girl, Donovan Wolfington, Pope"
2014-06-15,Sun,Brooklyn,NY,Baby's All Right,EIS & Friends Northside
2014-06-12,Thu,Brooklyn,NY,Shea Stadium,"Gringo Star, Slothrust, Flagland, Mannequin Pussy"
2014-05-31,Sat,Brooklyn,NY,The Gutter,"Flagland, Vulture Shit, Marriage + Cancer"
2014-05-30,Fri,Brooklyn,NY,Ted's Apartment,RÉN
2014-05-25,Sun,Brooklyn,NY,Shea Stadium,"Pile, Grass Is Green, Celestial Shore, Ava Luna"
2014-05-09,Fri,Brooklyn,NY,Palisades,"Doubting Thomas Cruise Control, Laughing Fingers, Dead Tenants"
2014-04-25,Fri,Brooklyn,NY,Emet,"Doubting Thomas Cruise Control, Fins, Dances, Bodega Bay"
2014-04-15,Tue,Brooklyn,NY,The Grandy Victory,"Vulture Shit, Dead Tenants, Robot Death Kites"
2014-04-12,Sat,Brooklyn,NY,Pine Box Rock Shop,"Stay At Home Dads, Bodega Bay"
2014-03-14,Fri,Brooklyn,NY,Shea Stadium,"California X, Sleepies, LVL UP"
2014-03-05,Wed,Brooklyn,NY,Cameo Gallery,OxenFree
2014-03-01,Sat,Brooklyn,NY,Shea Stadium,"Flagland, Lost Boy?, Ovlov, Dead Tenants"
2014-02-28,Fri,Philadelphia,PA,The Dog Morgue,"Flagland, Snoozer, Lil Huffy, Left & Right"
